date,platform,campaign_name,impressions,clicks,spend,conversions,conversion_value
2026-01-27,TikTok Ads,In_Feed_Ads,5060,139,137.9,8,475.23
2026-01-28,Google Ads,Brand_Search,20961,449,795.24,43,3731.41
2026-01-28,Google Ads,Competitor_Search,15203,198,205.27,14,902.13
2026-01-28,Google Ads,Display_Retargeting,49436,500,395.44,34,992.63
2026-01-28,Google Ads,YouTube_Awareness,47456,378,938.92,13,1176.28
2026-01-28,Meta Ads,Lookalike_1%,11969,572,846.3,14,1030.54
2026-01-28,Meta Ads,Interest_Targeting,28362,877,1537.14,67,4652.47
2026-01-28,Meta Ads,Retargeting,24816,339,248.01,24,1236.98
2026-01-28,Meta Ads,Broad_Audience,49781,1941,3049.18,96,7857.65
2026-01-28,TikTok Ads,Trend_Jacker,41481,852,1509.36,24,1412.64
2026-01-28,TikTok Ads,Creator_Partnership,47046,1338,2330.86,20,1585.11
2026-01-28,TikTok Ads,Spark_Ads,13057,628,1483.17,16,690.84
2026-01-28,TikTok Ads,In_Feed_Ads,42211,1145,2277.69,63,4865.51
2026-01-29,Google Ads,Brand_Search,35632,1376,2965.1,109,7285.59
2026-01-29,Google Ads,Competitor_Search,47568,1092,2550.37,38,3503.62
2026-01-29,Google Ads,Display_Retargeting,24429,428,1180.18,9,805.61
2026-01-29,Google Ads,YouTube_Awareness,38987,1152,2299.35,56,4726.23
2026-01-29,Meta Ads,Lookalike_1%,46890,476,1329.99,44,1568.86
2026-01-29,Meta Ads,Interest_Targeting,26656,334,377.09,29,1961.81
2026-01-29,Meta Ads,Retargeting,17910,497,928.33,43,3947.29
2026-01-29,Meta Ads,Broad_Audience,20004,333,980.94,32,1800.66
2026-01-29,TikTok Ads,Trend_Jacker,21678,1023,1120.03,10,947.44
2026-01-29,TikTok Ads,Creator_Partnership,48294,1269,1729.55,59,3591.33
2026-01-29,TikTok Ads,Spark_Ads,32567,201,354.93,2,40.01
2026-01-29,TikTok Ads,In_Feed_Ads,17778,372,335.23,8,363.77
2026-01-30,Google Ads,Brand_Search,48225,984,2832.36,83,7756.48
2026-01-30,Google Ads,Competitor_Search,49186,1075,2365.7,77,1589.48
2026-01-30,Google Ads,Display_Retargeting,11971,341,847.3,33,1165.01
2026-01-30,Google Ads,YouTube_Awareness,17462,481,758.7,18,1592.76
2026-01-30,Meta Ads,Lookalike_1%,25897,728,710.67,45,1646.22
2026-01-30,Meta Ads,Interest_Targeting,9047,404,1149.86,18,1461.54
2026-01-30,Meta Ads,Retargeting,23865,867,659.19,61,4202.19
2026-01-30,Meta Ads,Broad_Audience,39908,402,803.76,17,1661.09
2026-01-30,TikTok Ads,Trend_Jacker,10101,202,495.7,10,371.6
2026-01-30,TikTok Ads,Creator_Partnership,47395,849,1520.35,25,1701.67
2026-01-30,TikTok Ads,Spark_Ads,27635,754,655.71,16,464.78
2026-01-30,TikTok Ads,In_Feed_Ads,20778,388,298.99,8,401.38
2026-01-31,Google Ads,Brand_Search,18038,800,480.46,15,1243.34
2026-01-31,Google Ads,Competitor_Search,27364,156,178.78,8,431.87
2026-01-31,Google Ads,Display_Retargeting,23507,378,977.04,28,1158.31
2026-01-31,Google Ads,YouTube_Awareness,47310,592,1713.63,20,788.38
2026-01-31,Meta Ads,Lookalike_1%,10031,285,222.96,23,837.38
2026-01-31,Meta Ads,Interest_Targeting,29092,1295,1005.63,84,1890.74
2026-01-31,Meta Ads,Retargeting,22607,367,940.01,7,214.37
2026-01-31,Meta Ads,Broad_Audience,29136,767,575.07,36,2652.1
2026-01-31,TikTok Ads,Trend_Jacker,12965,317,943.06,28,1601.41
2026-01-31,TikTok Ads,Creator_Partnership,12093,96,268.11,7,317.57
2026-01-31,TikTok Ads,Spark_Ads,20275,256,325.28,24,943.92
2026-01-31,TikTok Ads,In_Feed_Ads,30083,759,2243.47,8,575.59
2026-02-01,Google Ads,Brand_Search,19152,192,123.79,13,1275.75
2026-02-01,Google Ads,Competitor_Search,23154,628,1675.02,40,3552.39
2026-02-01,Google Ads,Display_Retargeting,29573,1241,3327.57,53,3232.05
2026-02-01,Google Ads,YouTube_Awareness,46747,1962,3147.81,92,4775.31
2026-02-01,Meta Ads,Lookalike_1%,23296,658,1558.29,8,276.08
2026-02-01,Meta Ads,Interest_Targeting,32890,1566,828.25,114,8832.01
2026-02-01,Meta Ads,Retargeting,14176,249,708.12,5,247.23
2026-02-01,Meta Ads,Broad_Audience,9668,111,158.86,3,75.87
2026-02-01,TikTok Ads,Trend_Jacker,5346,137,80.39,10,681.95
2026-02-01,TikTok Ads,Creator_Partnership,49970,884,2163.96,78,5879.55
2026-02-01,TikTok Ads,Spark_Ads,19930,406,571.11,31,2647.85
2026-02-01,TikTok Ads,In_Feed_Ads,18167,503,768.64,35,1009.55
2026-02-02,Google Ads,Brand_Search,19866,217,531.12,20,970.01
2026-02-02,Google Ads,Competitor_Search,26488,674,1641.76,67,2847.12
2026-02-02,Google Ads,Display_Retargeting,25418,1151,1109.94,115,5122.66
2026-02-02,Google Ads,YouTube_Awareness,20496,748,1528.54,11,494.59
2026-02-02,Meta Ads,Lookalike_1%,31453,1508,2502.44,119,4153.55
2026-02-02,Meta Ads,Interest_Targeting,20932,798,2302.06,72,5905.82
2026-02-02,Meta Ads,Retargeting,32900,922,2232.8,45,3805.23
2026-02-02,Meta Ads,Broad_Audience,45067,2106,5612.73,180,15577.91
2026-02-02,TikTok Ads,Trend_Jacker,37339,986,1677.19,63,3550.28
2026-02-02,TikTok Ads,Creator_Partnership,32818,1025,668.33,56,4820.59
2026-02-02,TikTok Ads,Spark_Ads,8318,306,347.88,8,667.23
2026-02-02,TikTok Ads,In_Feed_Ads,23003,1096,1971.25,49,3200.23
2026-02-03,Google Ads,Brand_Search,9515,471,636.74,25,795.07
2026-02-03,Google Ads,Competitor_Search,25096,802,1866.38,14,611.11
2026-02-03,Google Ads,Display_Retargeting,33636,274,286.78,23,2197.22
2026-02-03,Google Ads,YouTube_Awareness,11938,131,242.54,7,477.28
2026-02-03,Meta Ads,Lookalike_1%,21719,732,563.86,26,1667.02
2026-02-03,Meta Ads,Interest_Targeting,29655,843,902.57,31,2265.03
2026-02-03,Meta Ads,Retargeting,17632,579,488.31,25,752.97
2026-02-03,Meta Ads,Broad_Audience,46605,557,562.58,10,487.06
2026-02-03,TikTok Ads,Trend_Jacker,17169,303,181.16,16,798.61
2026-02-03,TikTok Ads,Creator_Partnership,18143,183,544.51,10,329.73
2026-02-03,TikTok Ads,Spark_Ads,31349,1137,743.22,110,3260.97
2026-02-03,TikTok Ads,In_Feed_Ads,20706,435,985.58,23,2077.0
2026-02-04,Google Ads,Brand_Search,31063,731,1216.68,56,4352.05
2026-02-04,Google Ads,Competitor_Search,34079,624,1652.23,40,2039.28
2026-02-04,Google Ads,Display_Retargeting,21013,1022,598.91,55,3717.29
2026-02-04,Google Ads,YouTube_Awareness,12315,204,104.48,4,128.42
2026-02-04,Meta Ads,Lookalike_1%,46184,1148,750.88,35,1686.69
2026-02-04,Meta Ads,Interest_Targeting,13100,185,126.04,7,322.87
2026-02-04,Meta Ads,Retargeting,29559,635,1743.08,18,664.61
2026-02-04,Meta Ads,Broad_Audience,29088,206,226.32,14,985.32
2026-02-04,TikTok Ads,Trend_Jacker,11843,120,91.46,2,157.94
2026-02-04,TikTok Ads,Creator_Partnership,38878,1304,2687.17,13,313.58
2026-02-04,TikTok Ads,Spark_Ads,28331,989,2917.4,31,952.45
2026-02-04,TikTok Ads,In_Feed_Ads,22298,801,506.5,28,2383.01
2026-02-05,Google Ads,Brand_Search,16686,463,731.51,31,2827.3
2026-02-05,Google Ads,Competitor_Search,47047,2335,6750.87,222,19683.2
2026-02-05,Google Ads,Display_Retargeting,14783,658,1045.16,55,4620.39
2026-02-05,Google Ads,YouTube_Awareness,23409,193,351.34,14,598.06
2026-02-05,Meta Ads,Lookalike_1%,10543,306,737.25,19,678.19
2026-02-05,Meta Ads,Interest_Targeting,35267,391,301.6,8,597.32
2026-02-05,Meta Ads,Retargeting,32559,536,1204.3,50,2298.51
2026-02-05,Meta Ads,Broad_Audience,47710,823,607.98,65,2341.54
2026-02-05,TikTok Ads,Trend_Jacker,34229,1682,4670.68,153,15096.12
2026-02-05,TikTok Ads,Creator_Partnership,43985,1450,1272.13,131,9429.99
2026-02-05,TikTok Ads,Spark_Ads,9953,196,279.05,11,1024.23
2026-02-05,TikTok Ads,In_Feed_Ads,26178,1167,927.17,63,4544.46
2026-02-06,Google Ads,Brand_Search,7340,272,322.19,7,436.62
2026-02-06,Google Ads,Competitor_Search,28470,786,2206.54,8,626.33
2026-02-06,Google Ads,Display_Retargeting,43262,1126,2505.4,107,10650.43
2026-02-06,Google Ads,YouTube_Awareness,10929,345,705.42,10,513.05
2026-02-06,Meta Ads,Lookalike_1%,8853,180,90.23,16,1427.59
2026-02-06,Meta Ads,Interest_Targeting,39835,1564,3679.55,147,4148.44
2026-02-06,Meta Ads,Retargeting,16867,231,209.2,15,530.66
2026-02-06,Meta Ads,Broad_Audience,7560,363,841.68,23,911.39
2026-02-06,TikTok Ads,Trend_Jacker,41733,1042,1932.23,94,8513.0
2026-02-06,TikTok Ads,Creator_Partnership,41596,742,497.57,46,4050.27
2026-02-06,TikTok Ads,Spark_Ads,22361,543,569.53,14,1149.13
2026-02-06,TikTok Ads,In_Feed_Ads,21663,515,975.73,29,2163.9
2026-02-07,Google Ads,Brand_Search,18670,800,1046.51,26,725.72
2026-02-07,Google Ads,Competitor_Search,6196,156,131.01,13,646.1
2026-02-07,Google Ads,Display_Retargeting,29556,905,1473.72,28,1674.0
2026-02-07,Google Ads,YouTube_Awareness,14291,538,1287.5,27,2601.33
2026-02-07,Meta Ads,Lookalike_1%,17716,576,988.98,34,1676.97
2026-02-07,Meta Ads,Interest_Targeting,18685,644,690.15,11,501.73
2026-02-07,Meta Ads,Retargeting,12609,482,390.41,44,2587.21
2026-02-07,Meta Ads,Broad_Audience,33983,989,859.36,40,2210.46
2026-02-07,TikTok Ads,Trend_Jacker,46652,1978,2315.46,60,4954.69
2026-02-07,TikTok Ads,Creator_Partnership,49066,1180,1854.25,61,4076.34
2026-02-07,TikTok Ads,Spark_Ads,26101,1082,643.68,107,2232.16
2026-02-07,TikTok Ads,In_Feed_Ads,40059,1404,2328.58,77,3313.06
2026-02-08,Google Ads,Brand_Search,18873,797,1296.76,9,277.84
2026-02-08,Google Ads,Competitor_Search,22659,182,278.46,8,760.69
2026-02-08,Google Ads,Display_Retargeting,8033,242,494.44,18,907.77
2026-02-08,Google Ads,YouTube_Awareness,26998,395,904.16,10,605.34
2026-02-08,Meta Ads,Lookalike_1%,43576,1368,780.19,46,2134.0
2026-02-08,Meta Ads,Interest_Targeting,45891,2116,5981.85,76,6775.59
2026-02-08,Meta Ads,Retargeting,18893,318,943.89,8,173.32
2026-02-08,Meta Ads,Broad_Audience,7040,334,724.93,26,2142.51
2026-02-08,TikTok Ads,Trend_Jacker,25757,990,730.64,36,2750.16
2026-02-08,TikTok Ads,Creator_Partnership,18464,199,372.59,13,299.51
2026-02-08,TikTok Ads,Spark_Ads,18032,301,350.25,8,718.02
2026-02-08,TikTok Ads,In_Feed_Ads,10390,295,607.01,21,1213.69
2026-02-09,Google Ads,Brand_Search,33702,1101,2829.31,21,1282.01
2026-02-09,Google Ads,Competitor_Search,28317,653,978.86,40,1049.82
2026-02-09,Google Ads,Display_Retargeting,29517,546,636.41,26,1842.82
2026-02-09,Google Ads,YouTube_Awareness,7276,197,408.18,4,365.6
2026-02-09,Meta Ads,Lookalike_1%,7514,187,555.08,16,524.54
2026-02-09,Meta Ads,Interest_Targeting,22305,504,964.04,44,1033.14
2026-02-09,Meta Ads,Retargeting,43453,1664,2710.08,80,7996.28
2026-02-09,Meta Ads,Broad_Audience,37396,455,1095.25,27,597.64
2026-02-09,TikTok Ads,Trend_Jacker,11630,565,1434.66,34,1495.99
2026-02-09,TikTok Ads,Creator_Partnership,46825,1275,2145.54,116,8700.31
2026-02-09,TikTok Ads,Spark_Ads,34913,925,1111.68,15,1002.08
2026-02-09,TikTok Ads,In_Feed_Ads,38848,1293,1710.56,61,5850.18
2026-02-10,Google Ads,Brand_Search,32606,311,640.22,29,1734.9
2026-02-10,Google Ads,Competitor_Search,15076,401,807.36,13,672.48
2026-02-10,Google Ads,Display_Retargeting,43419,1560,1876.5,57,2519.1
2026-02-10,Google Ads,YouTube_Awareness,36062,1737,1367.81,144,5984.22
2026-02-10,Meta Ads,Lookalike_1%,21230,116,92.6,4,106.58
2026-02-10,Meta Ads,Interest_Targeting,39395,1654,2964.41,117,10119.24
2026-02-10,Meta Ads,Retargeting,30802,739,761.86,56,4162.41
2026-02-10,Meta Ads,Broad_Audience,13589,86,134.92,5,439.17
2026-02-10,TikTok Ads,Trend_Jacker,6659,318,221.13,12,749.04
2026-02-10,TikTok Ads,Creator_Partnership,35042,1688,2566.7,63,4978.95
2026-02-10,TikTok Ads,Spark_Ads,43148,1259,1803.51,99,6360.55
2026-02-10,TikTok Ads,In_Feed_Ads,8399,87,97.68,3,241.96
2026-02-11,Google Ads,Brand_Search,37487,193,348.89,7,165.55
2026-02-11,Google Ads,Competitor_Search,30021,1095,2586.63,95,4220.09
2026-02-11,Google Ads,Display_Retargeting,44787,1004,2130.73,97,5612.61
2026-02-11,Google Ads,YouTube_Awareness,32215,1093,1192.86,44,1234.33
2026-02-11,Meta Ads,Lookalike_1%,5211,155,452.47,5,398.9
2026-02-11,Meta Ads,Interest_Targeting,33053,649,782.01,18,1718.61
2026-02-11,Meta Ads,Retargeting,43990,1186,914.18,33,2943.27
2026-02-11,Meta Ads,Broad_Audience,9540,341,822.28,17,736.98
2026-02-11,TikTok Ads,Trend_Jacker,29122,387,640.32,29,1284.22
2026-02-11,TikTok Ads,Creator_Partnership,25835,822,1521.54,48,1037.38
2026-02-11,TikTok Ads,Spark_Ads,27896,571,807.96,56,5424.37
2026-02-11,TikTok Ads,In_Feed_Ads,6148,67,84.09,5,155.25
2026-02-12,Google Ads,Brand_Search,30191,1449,1498.93,26,2130.14
2026-02-12,Google Ads,Competitor_Search,49737,422,303.69,8,796.32
2026-02-12,Google Ads,Display_Retargeting,9238,201,267.07,14,1188.48
2026-02-12,Google Ads,YouTube_Awareness,14158,330,926.22,3,259.43
2026-02-12,Meta Ads,Lookalike_1%,45985,1866,4692.25,44,3176.91
2026-02-12,Meta Ads,Interest_Targeting,36607,816,1530.64,50,4987.12
2026-02-12,Meta Ads,Retargeting,41054,1729,1859.44,34,1539.33
2026-02-12,Meta Ads,Broad_Audience,11455,496,836.29,33,2895.2
2026-02-12,TikTok Ads,Trend_Jacker,42484,621,1425.22,9,280.95
2026-02-12,TikTok Ads,Creator_Partnership,9482,104,294.28,9,495.61
2026-02-12,TikTok Ads,Spark_Ads,6116,283,214.24,15,944.63
2026-02-12,TikTok Ads,In_Feed_Ads,22313,492,463.13,32,3171.38
2026-02-13,Google Ads,Brand_Search,45684,1568,2920.87,130,5140.89
2026-02-13,Google Ads,Competitor_Search,26739,592,1183.64,47,3087.13
2026-02-13,Google Ads,Display_Retargeting,5707,69,124.32,2,111.4
2026-02-13,Google Ads,YouTube_Awareness,26306,1009,2360.96,23,535.01
2026-02-13,Meta Ads,Lookalike_1%,45570,524,737.71,41,971.21
2026-02-13,Meta Ads,Interest_Targeting,22542,190,504.78,15,1042.59
2026-02-13,Meta Ads,Retargeting,49737,821,504.63,59,1285.33
2026-02-13,Meta Ads,Broad_Audience,15891,377,518.17,19,477.93
2026-02-13,TikTok Ads,Trend_Jacker,39555,1311,1178.86,21,2073.01
2026-02-13,TikTok Ads,Creator_Partnership,12961,394,381.12,38,3611.12
2026-02-13,TikTok Ads,Spark_Ads,16596,343,827.54,24,1792.56
2026-02-13,TikTok Ads,In_Feed_Ads,6520,114,124.19,1,25.33
2026-02-14,Google Ads,Brand_Search,26184,742,1881.61,42,1972.13
2026-02-14,Google Ads,Competitor_Search,24744,1008,2855.34,39,2071.09
2026-02-14,Google Ads,Display_Retargeting,12293,152,278.19,12,1067.57
2026-02-14,Google Ads,YouTube_Awareness,19827,407,415.04,29,1454.16
2026-02-14,Meta Ads,Lookalike_1%,38770,1594,3460.58,87,3160.92
2026-02-14,Meta Ads,Interest_Targeting,30226,653,1302.52,61,4177.22
2026-02-14,Meta Ads,Retargeting,38759,951,1886.63,24,2156.54
2026-02-14,Meta Ads,Broad_Audience,43966,700,545.42,34,2117.93
2026-02-14,TikTok Ads,Trend_Jacker,31073,1254,2746.66,110,8667.28
2026-02-14,TikTok Ads,Creator_Partnership,37152,395,533.57,11,488.1
2026-02-14,TikTok Ads,Spark_Ads,23615,1161,2233.62,43,2753.91
2026-02-14,TikTok Ads,In_Feed_Ads,26409,1236,1528.94,32,1202.39
2026-02-15,Google Ads,Brand_Search,22856,928,1999.97,60,3777.44
2026-02-15,Google Ads,Competitor_Search,43326,909,497.47,48,1148.66
2026-02-15,Google Ads,Display_Retargeting,13651,547,468.52,11,632.82
2026-02-15,Google Ads,YouTube_Awareness,8466,322,357.54,15,1086.72
2026-02-15,Meta Ads,Lookalike_1%,31061,1186,2534.6,20,1276.96
2026-02-15,Meta Ads,Interest_Targeting,26984,1068,2559.29,94,9060.24
2026-02-15,Meta Ads,Retargeting,29224,826,690.37,16,813.14
2026-02-15,Meta Ads,Broad_Audience,45560,2275,5907.27,95,5050.39
2026-02-15,TikTok Ads,Trend_Jacker,38644,1643,3340.41,23,1210.25
2026-02-15,TikTok Ads,Creator_Partnership,9509,145,423.3,3,106.78
2026-02-15,TikTok Ads,Spark_Ads,26869,1186,1537.33,98,7469.79
2026-02-15,TikTok Ads,In_Feed_Ads,8349,152,155.09,10,317.58
2026-02-16,Google Ads,Brand_Search,21018,774,1661.56,66,5658.9
2026-02-16,Google Ads,Competitor_Search,6101,299,782.22,13,989.63
2026-02-16,Google Ads,Display_Retargeting,25310,280,164.69,19,1146.65
2026-02-16,Google Ads,YouTube_Awareness,34597,1533,4402.16,91,3380.27
2026-02-16,Meta Ads,Lookalike_1%,35616,643,995.15,14,1011.22
2026-02-16,Meta Ads,Interest_Targeting,41208,470,1382.26,19,529.73
2026-02-16,Meta Ads,Retargeting,16800,771,679.44,72,3206.08
2026-02-16,Meta Ads,Broad_Audience,34916,275,639.53,13,1162.83
2026-02-16,TikTok Ads,Trend_Jacker,24763,1235,3593.58,113,3349.0
2026-02-16,TikTok Ads,Creator_Partnership,25260,591,643.04,12,605.07
2026-02-16,TikTok Ads,Spark_Ads,15242,752,863.16,26,1247.89
2026-02-16,TikTok Ads,In_Feed_Ads,5271,206,615.57,11,832.2
2026-02-17,Google Ads,Brand_Search,16261,369,968.61,9,257.11
2026-02-17,Google Ads,Competitor_Search,7971,303,848.74,24,1370.6
2026-02-17,Google Ads,Display_Retargeting,17470,836,858.64,68,4287.84
2026-02-17,Google Ads,YouTube_Awareness,33546,636,1906.96,42,2465.02
2026-02-17,Meta Ads,Lookalike_1%,36519,683,1111.88,10,218.1
2026-02-17,Meta Ads,Interest_Targeting,16993,742,1496.45,53,1097.07
2026-02-17,Meta Ads,Retargeting,13003,333,557.16,8,277.32
2026-02-17,Meta Ads,Broad_Audience,47101,1519,2170.25,135,12389.33
2026-02-17,TikTok Ads,Trend_Jacker,11921,460,631.3,30,1387.79
2026-02-17,TikTok Ads,Creator_Partnership,36398,684,922.54,58,2747.57
2026-02-17,TikTok Ads,Spark_Ads,13326,549,969.45,43,2703.44
2026-02-17,TikTok Ads,In_Feed_Ads,27547,668,1527.96,58,1893.38
2026-02-18,Google Ads,Brand_Search,28321,552,1388.84,19,515.3
2026-02-18,Google Ads,Competitor_Search,39175,1027,1866.18,68,3142.22
2026-02-18,Google Ads,Display_Retargeting,7617,319,641.9,26,1690.12
2026-02-18,Google Ads,YouTube_Awareness,46507,1525,3314.4,54,5157.89
2026-02-18,Meta Ads,Lookalike_1%,13093,288,798.97,24,1166.54
2026-02-18,Meta Ads,Interest_Targeting,22993,618,645.03,19,1627.15
2026-02-18,Meta Ads,Retargeting,15868,356,369.26,24,526.22
2026-02-18,Meta Ads,Broad_Audience,25463,602,1426.53,57,5334.63
2026-02-18,TikTok Ads,Trend_Jacker,38657,1115,2592.36,64,2952.57
2026-02-18,TikTok Ads,Creator_Partnership,35061,1417,1603.17,125,7859.86
2026-02-18,TikTok Ads,Spark_Ads,46785,1824,4073.99,20,897.19
2026-02-18,TikTok Ads,In_Feed_Ads,47551,1804,1202.46,78,4887.16
2026-02-19,Google Ads,Brand_Search,42357,214,130.57,16,353.45
2026-02-19,Google Ads,Competitor_Search,12766,195,465.75,11,781.49
2026-02-19,Google Ads,Display_Retargeting,32545,537,1038.14,22,440.62
2026-02-19,Google Ads,YouTube_Awareness,22487,1052,2053.78,19,1469.1
2026-02-19,Meta Ads,Lookalike_1%,31885,664,954.28,6,580.5
2026-02-19,Meta Ads,Interest_Targeting,36006,1734,1841.82,78,5369.49
2026-02-19,Meta Ads,Retargeting,24352,1004,1678.51,67,1425.61
2026-02-19,Meta Ads,Broad_Audience,41164,1777,4304.25,66,4008.94
2026-02-19,TikTok Ads,Trend_Jacker,17764,558,615.62,49,2216.07
2026-02-19,TikTok Ads,Creator_Partnership,9962,372,511.66,33,988.13
